name,rank,points,competition,event,result
YURKOV,5,8036,Decastar,pole_vault,4.72
YURKOV,5,8036,Decastar,javeline,63.44
YURKOV,5,8036,Decastar,x1500m,276.4
WARNERS,6,8030,Decastar,x100m,11.11
WARNERS,6,8030,Decastar,long_jump,7.6
WARNERS,6,8030,Decastar,shot_put,14.31
WARNERS,6,8030,Decastar,high_jump,1.98
WARNERS,6,8030,Decastar,x400m,48.68
WARNERS,6,8030,Decastar,x110m_hurdle,14.23
WARNERS,6,8030,Decastar,discus,41.1
WARNERS,6,8030,Decastar,pole_vault,4.92
WARNERS,6,8030,Decastar,javeline,51.77
WARNERS,6,8030,Decastar,x1500m,278.1
ZSIVOCZKY,7,8004,Decastar,x100m,11.13
ZSIVOCZKY,7,8004,Decastar,long_jump,7.3
ZSIVOCZKY,7,8004,Decastar,shot_put,13.48
ZSIVOCZKY,7,8004,Decastar,high_jump,2.01
ZSIVOCZKY,7,8004,Decastar,x400m,48.62
ZSIVOCZKY,7,8004,Decastar,x110m_hurdle,14.17
ZSIVOCZKY,7,8004,Decastar,discus,45.67
ZSIVOCZKY,7,8004,Decastar,pole_vault,4.42
ZSIVOCZKY,7,8004,Decastar,javeline,55.37
ZSIVOCZKY,7,8004,Decastar,x1500m,268
McMULLEN,8,7995,Decastar,x100m,10.83
McMULLEN,8,7995,Decastar,long_jump,7.31
McMULLEN,8,7995,Decastar,shot_put,13.76
McMULLEN,8,7995,Decastar,high_jump,2.13
McMULLEN,8,7995,Decastar,x400m,49.91
McMULLEN,8,7995,Decastar,x110m_hurdle,14.38
McMULLEN,8,7995,Decastar,discus,44.41
McMULLEN,8,7995,Decastar,pole_vault,4.42
McMULLEN,8,7995,Decastar,javeline,56.37
McMULLEN,8,7995,Decastar,x1500m,285.1
MARTINEAU,9,7802,Decastar,x100m,11.64
MARTINEAU,9,7802,Decastar,long_jump,6.81
MARTINEAU,9,7802,Decastar,shot_put,14.57
MARTINEAU,9,7802,Decastar,high_jump,1.95
MARTINEAU,9,7802,Decastar,x400m,50.14
MARTINEAU,9,7802,Decastar,x110m_hurdle,14.93
MARTINEAU,9,7802,Decastar,discus,47.6
MARTINEAU,9,7802,Decastar,pole_vault,4.92
MARTINEAU,9,7802,Decastar,javeline,52.33
MARTINEAU,9,7802,Decastar,x1500m,262.1
HERNU,10,7733,Decastar,x100m,11.37
HERNU,10,7733,Decastar,long_jump,7.56
HERNU,10,7733,Decastar,shot_put,14.41
HERNU,10,7733,Decastar,high_jump,1.86
HERNU,10,7733,Decastar,x400m,51.1
HERNU,10,7733,Decastar,x110m_hurdle,15.06
HERNU,10,7733,Decastar,discus,44.99
HERNU,10,7733,Decastar,pole_vault,4.82
HERNU,10,7733,Decastar,javeline,57.19
HERNU,10,7733,Decastar,x1500m,285.1
BARRAS,11,7708,Decastar,x100m,11.33
BARRAS,11,7708,Decastar,long_jump,6.97
BARRAS,11,7708,Decastar,shot_put,14.09
BARRAS,11,7708,Decastar,high_jump,1.95
BARRAS,11,7708,Decastar,x400m,49.48
BARRAS,11,7708,Decastar,x110m_hurdle,14.48
BARRAS,11,7708,Decastar,discus,42.1
BARRAS,11,7708,Decastar,pole_vault,4.72
BARRAS,11,7708,Decastar,javeline,55.4
BARRAS,11,7708,Decastar,x1500m,282
NOOL,12,7651,Decastar,x100m,11.33
NOOL,12,7651,Decastar,long_jump,7.27
NOOL,12,7651,Decastar,shot_put,12.68
NOOL,12,7651,Decastar,high_jump,1.98
NOOL,12,7651,Decastar,x400m,49.2
NOOL,12,7651,Decastar,x110m_hurdle,15.29
NOOL,12,7651,Decastar,discus,37.92
NOOL,12,7651,Decastar,pole_vault,4.62
NOOL,12,7651,Decastar,javeline,57.44
NOOL,12,7651,Decastar,x1500m,266.6
BOURGUIGNON,13,7313,Decastar,x100m,11.36
BOURGUIGNON,13,7313,Decastar,long_jump,6.8
BOURGUIGNON,13,7313,Decastar,shot_put,13.46
BOURGUIGNON,13,7313,Decastar,high_jump,1.86
BOURGUIGNON,13,7313,Decastar,x400m,51.16
BOURGUIGNON,13,7313,Decastar,x110m_hurdle,15.67
BOURGUIGNON,13,7313,Decastar,discus,40.49
BOURGUIGNON,13,7313,Decastar,pole_vault,5.02
BOURGUIGNON,13,7313,Decastar,javeline,54.68
BOURGUIGNON,13,7313,Decastar,x1500m,291.7
Sebrle,1,8893,OlympicG,x100m,10.85
Sebrle,1,8893,OlympicG,long_jump,7.84
Sebrle,1,8893,OlympicG,shot_put,16.36
Sebrle,1,8893,OlympicG,high_jump,2.12
Sebrle,1,8893,OlympicG,x400m,48.36
Sebrle,1,8893,OlympicG,x110m_hurdle,14.05
Sebrle,1,8893,OlympicG,discus,48.72
Sebrle,1,8893,OlympicG,pole_vault,5
Sebrle,1,8893,OlympicG,javeline,70.52
Sebrle,1,8893,OlympicG,x1500m,280.01
Clay,2,8820,OlympicG,x100m,10.44
Clay,2,8820,OlympicG,long_jump,7.96
Clay,2,8820,OlympicG,shot_put,15.23
Clay,2,8820,OlympicG,high_jump,2.06
Clay,2,8820,OlympicG,x400m,49.19
Clay,2,8820,OlympicG,x110m_hurdle,14.13
Clay,2,8820,OlympicG,discus,50.11
Clay,2,8820,OlympicG,pole_vault,4.9
Clay,2,8820,OlympicG,javeline,69.71
Clay,2,8820,OlympicG,x1500m,282
Karpov,3,8725,OlympicG,x100m,10.5
Karpov,3,8725,OlympicG,long_jump,7.81
Karpov,3,8725,OlympicG,shot_put,15.93
Karpov,3,8725,OlympicG,high_jump,2.09
Karpov,3,8725,OlympicG,x400m,46.81
Karpov,3,8725,OlympicG,x110m_hurdle,13.97
Karpov,3,8725,OlympicG,discus,51.65
Karpov,3,8725,OlympicG,pole_vault,4.6
Karpov,3,8725,OlympicG,javeline,55.54
Karpov,3,8725,OlympicG,x1500m,278.11
Macey,4,8414,OlympicG,x100m,10.89
Macey,4,8414,OlympicG,long_jump,7.47
Macey,4,8414,OlympicG,shot_put,15.73
Macey,4,8414,OlympicG,high_jump,2.15
Macey,4,8414,OlympicG,x400m,48.97
Macey,4,8414,OlympicG,x110m_hurdle,14.56
Macey,4,8414,OlympicG,discus,48.34
Macey,4,8414,OlympicG,pole_vault,4.4
Macey,4,8414,OlympicG,javeline,58.46
Macey,4,8414,OlympicG,x1500m,265.42
Warners,5,8343,OlympicG,x100m,10.62
Warners,5,8343,OlympicG,long_jump,7.74
Warners,5,8343,OlympicG,shot_put,14.48
Warners,5,8343,OlympicG,high_jump,1.97
Warners,5,8343,OlympicG,x400m,47.97
Warners,5,8343,OlympicG,x110m_hurdle,14.01
Warners,5,8343,OlympicG,discus,43.73
Warners,5,8343,OlympicG,pole_vault,4.9
Warners,5,8343,OlympicG,javeline,55.39
Warners,5,8343,OlympicG,x1500m,278.05
Zsivoczky,6,8287,OlympicG,x100m,10.91
Zsivoczky,6,8287,OlympicG,long_jump,7.14
Zsivoczky,6,8287,OlympicG,shot_put,15.31
Zsivoczky,6,8287,OlympicG,high_jump,2.12
Zsivoczky,6,8287,OlympicG,x400m,49.4
Zsivoczky,6,8287,OlympicG,x110m_hurdle,14.95
Zsivoczky,6,8287,OlympicG,discus,45.62
Zsivoczky,6,8287,OlympicG,pole_vault,4.7
Zsivoczky,6,8287,OlympicG,javeline,63.45
Zsivoczky,6,8287,OlympicG,x1500m,269.54
Hernu,7,8237,OlympicG,x100m,10.97
Hernu,7,8237,OlympicG,long_jump,7.19
Hernu,7,8237,OlympicG,shot_put,14.65
Hernu,7,8237,OlympicG,high_jump,2.03
Hernu,7,8237,OlympicG,x400m,48.73
Hernu,7,8237,OlympicG,x110m_hurdle,14.25
Hernu,7,8237,OlympicG,discus,44.72
Hernu,7,8237,OlympicG,pole_vault,4.8
Hernu,7,8237,OlympicG,javeline,57.76
Hernu,7,8237,OlympicG,x1500m,264.35
Nool,8,8235,OlympicG,x100m,10.8
Nool,8,8235,OlympicG,long_jump,7.53
Nool,8,8235,OlympicG,shot_put,14.26
Nool,8,8235,OlympicG,high_jump,1.88
Nool,8,8235,OlympicG,x400m,48.81
Nool,8,8235,OlympicG,x110m_hurdle,14.8
Nool,8,8235,OlympicG,discus,42.05
Nool,8,8235,OlympicG,pole_vault,5.4
Nool,8,8235,OlympicG,javeline,61.33
Nool,8,8235,OlympicG,x1500m,276.33
Bernard,9,8225,OlympicG,x100m,10.69
Bernard,9,8225,OlympicG,long_jump,7.48
Bernard,9,8225,OlympicG,shot_put,14.8
Bernard,9,8225,OlympicG,high_jump,2.12
Bernard,9,8225,OlympicG,x400m,49.13
Bernard,9,8225,OlympicG,x110m_hurdle,14.17
Bernard,9,8225,OlympicG,discus,44.75
Bernard,9,8225,OlympicG,pole_vault,4.4
Bernard,9,8225,OlympicG,javeline,55.27
Bernard,9,8225,OlympicG,x1500m,276.31
Schwarzl,10,8102,OlympicG,x100m,10.98
Schwarzl,10,8102,OlympicG,long_jump,7.49
Schwarzl,10,8102,OlympicG,shot_put,14.01
Schwarzl,10,8102,OlympicG,high_jump,1.94
Schwarzl,10,8102,OlympicG,x400m,49.76
Schwarzl,10,8102,OlympicG,x110m_hurdle,14.25
Schwarzl,10,8102,OlympicG,discus,42.43
Schwarzl,10,8102,OlympicG,pole_vault,5.1
Schwarzl,10,8102,OlympicG,javeline,56.32
Schwarzl,10,8102,OlympicG,x1500m,273.56
Pogorelov,11,8084,OlympicG,x100m,10.95
Pogorelov,11,8084,OlympicG,long_jump,7.31
Pogorelov,11,8084,OlympicG,shot_put,15.1
Pogorelov,11,8084,OlympicG,high_jump,2.06
Pogorelov,11,8084,OlympicG,x400m,50.79
Pogorelov,11,8084,OlympicG,x110m_hurdle,14.21
Pogorelov,11,8084,OlympicG,discus,44.6
Pogorelov,11,8084,OlympicG,pole_vault,5
Pogorelov,11,8084,OlympicG,javeline,53.45
Pogorelov,11,8084,OlympicG,x1500m,287.63
Schoenbeck,12,8077,OlympicG,x100m,10.9
Schoenbeck,12,8077,OlympicG,long_jump,7.3
Schoenbeck,12,8077,OlympicG,shot_put,14.77
Schoenbeck,12,8077,OlympicG,high_jump,1.88
Schoenbeck,12,8077,OlympicG,x400m,50.3
Schoenbeck,12,8077,OlympicG,x110m_hurdle,14.34
Schoenbeck,12,8077,OlympicG,discus,44.41
Schoenbeck,12,8077,OlympicG,pole_vault,5
Schoenbeck,12,8077,OlympicG,javeline,60.89
Schoenbeck,12,8077,OlympicG,x1500m,278.82
Barras,13,8067,OlympicG,x100m,11.14
Barras,13,8067,OlympicG,long_jump,6.99
Barras,13,8067,OlympicG,shot_put,14.91
Barras,13,8067,OlympicG,high_jump,1.94
Barras,13,8067,OlympicG,x400m,49.41
Barras,13,8067,OlympicG,x110m_hurdle,14.37
Barras,13,8067,OlympicG,discus,44.83
Barras,13,8067,OlympicG,pole_vault,4.6
Barras,13,8067,OlympicG,javeline,64.55
Barras,13,8067,OlympicG,x1500m,267.09
Smith,14,8023,OlympicG,x100m,10.85
Smith,14,8023,OlympicG,long_jump,6.81
Smith,14,8023,OlympicG,shot_put,15.24
Smith,14,8023,OlympicG,high_jump,1.91
Smith,14,8023,OlympicG,x400m,49.27
Smith,14,8023,OlympicG,x110m_hurdle,14.01
Smith,14,8023,OlympicG,discus,49.02
Smith,14,8023,OlympicG,pole_vault,4.2
Smith,14,8023,OlympicG,javeline,61.52
Smith,14,8023,OlympicG,x1500m,272.74
Averyanov,15,8021,OlympicG,x100m,10.55
Averyanov,15,8021,OlympicG,long_jump,7.34
Averyanov,15,8021,OlympicG,shot_put,14.44
Averyanov,15,8021,OlympicG,high_jump,1.94
Averyanov,15,8021,OlympicG,x400m,49.72
Averyanov,15,8021,OlympicG,x110m_hurdle,14.39
Averyanov,15,8021,OlympicG,discus,39.88
Averyanov,15,8021,OlympicG,pole_vault,4.8
Averyanov,15,8021,OlympicG,javeline,54.51
Averyanov,15,8021,OlympicG,x1500m,271.02
Ojaniemi,16,8006,OlympicG,x100m,10.68
Ojaniemi,16,8006,OlympicG,long_jump,7.5
Ojaniemi,16,8006,OlympicG,shot_put,14.97
Ojaniemi,16,8006,OlympicG,high_jump,1.94
Ojaniemi,16,8006,OlympicG,x400m,49.12
Ojaniemi,16,8006,OlympicG,x110m_hurdle,15.01
Ojaniemi,16,8006,OlympicG,discus,40.35
Ojaniemi,16,8006,OlympicG,pole_vault,4.6
Ojaniemi,16,8006,OlympicG,javeline,59.26
Ojaniemi,16,8006,OlympicG,x1500m,275.71
Smirnov,17,7993,OlympicG,x100m,10.89
Smirnov,17,7993,OlympicG,long_jump,7.07
Smirnov,17,7993,OlympicG,shot_put,13.88
Smirnov,17,7993,OlympicG,high_jump,1.94
Smirnov,17,7993,OlympicG,x400m,49.11
Smirnov,17,7993,OlympicG,x110m_hurdle,14.77
Smirnov,17,7993,OlympicG,discus,42.47
Smirnov,17,7993,OlympicG,pole_vault,4.7
Smirnov,17,7993,OlympicG,javeline,60.88
Smirnov,17,7993,OlympicG,x1500m,263.31
Qi,18,7934,OlympicG,x100m,11.06
Qi,18,7934,OlympicG,long_jump,7.34
Qi,18,7934,OlympicG,shot_put,13.55
Qi,18,7934,OlympicG,high_jump,1.97
Qi,18,7934,OlympicG,x400m,49.65
Qi,18,7934,OlympicG,x110m_hurdle,14.78
Qi,18,7934,OlympicG,discus,45.13
Qi,18,7934,OlympicG,pole_vault,4.5
Qi,18,7934,OlympicG,javeline,60.79
Qi,18,7934,OlympicG,x1500m,272.63
Drews,19,7926,OlympicG,x100m,10.87
Drews,19,7926,OlympicG,long_jump,7.38
Drews,19,7926,OlympicG,shot_put,13.07
Drews,19,7926,OlympicG,high_jump,1.88
Drews,19,7926,OlympicG,x400m,48.51
Drews,19,7926,OlympicG,x110m_hurdle,14.01
Drews,19,7926,OlympicG,discus,40.11
Drews,19,7926,OlympicG,pole_vault,5
Drews,19,7926,OlympicG,javeline,51.53
Drews,19,7926,OlympicG,x1500m,274.21
Parkhomenko,20,7918,OlympicG,x100m,11.14
Parkhomenko,20,7918,OlympicG,long_jump,6.61
Parkhomenko,20,7918,OlympicG,shot_put,15.69
Parkhomenko,20,7918,OlympicG,high_jump,2.03
Parkhomenko,20,7918,OlympicG,x400m,51.04
Parkhomenko,20,7918,OlympicG,x110m_hurdle,14.88
Parkhomenko,20,7918,OlympicG,discus,41.9
Parkhomenko,20,7918,OlympicG,pole_vault,4.8
Parkhomenko,20,7918,OlympicG,javeline,65.82
Parkhomenko,20,7918,OlympicG,x1500m,277.94
Terek,21,7893,OlympicG,x100m,10.92
Terek,21,7893,OlympicG,long_jump,6.94
Terek,21,7893,OlympicG,shot_put,15.15
Terek,21,7893,OlympicG,high_jump,1.94
Terek,21,7893,OlympicG,x400m,49.56
Terek,21,7893,OlympicG,x110m_hurdle,15.12
Terek,21,7893,OlympicG,discus,45.62
Terek,21,7893,OlympicG,pole_vault,5.3
Terek,21,7893,OlympicG,javeline,50.62
Terek,21,7893,OlympicG,x1500m,290.36
Gomez,22,7865,OlympicG,x100m,11.08
Gomez,22,7865,OlympicG,long_jump,7.26
Gomez,22,7865,OlympicG,shot_put,14.57
Gomez,22,7865,OlympicG,high_jump,1.85
Gomez,22,7865,OlympicG,x400m,48.61
Gomez,22,7865,OlympicG,x110m_hurdle,14.41
Gomez,22,7865,OlympicG,discus,40.95
Gomez,22,7865,OlympicG,pole_vault,4.4
Gomez,22,7865,OlympicG,javeline,60.71
Gomez,22,7865,OlympicG,x1500m,269.7
Turi,23,7708,OlympicG,x100m,11.08
Turi,23,7708,OlympicG,long_jump,6.91
Turi,23,7708,OlympicG,shot_put,13.62
Turi,23,7708,OlympicG,high_jump,2.03
Turi,23,7708,OlympicG,x400m,51.67
Turi,23,7708,OlympicG,x110m_hurdle,14.26
Turi,23,7708,OlympicG,discus,39.83
Turi,23,7708,OlympicG,pole_vault,4.8
Turi,23,7708,OlympicG,javeline,59.34
Turi,23,7708,OlympicG,x1500m,290.01
Lorenzo,24,7592,OlympicG,x100m,11.1
Lorenzo,24,7592,OlympicG,long_jump,7.03
Lorenzo,24,7592,OlympicG,shot_put,13.22
Lorenzo,24,7592,OlympicG,high_jump,1.85
Lorenzo,24,7592,OlympicG,x400m,49.34
Lorenzo,24,7592,OlympicG,x110m_hurdle,15.38
Lorenzo,24,7592,OlympicG,discus,40.22
Lorenzo,24,7592,OlympicG,pole_vault,4.5
Lorenzo,24,7592,OlympicG,javeline,58.36
Lorenzo,24,7592,OlympicG,x1500m,263.08
Karlivans,25,7583,OlympicG,x100m,11.33
Karlivans,25,7583,OlympicG,long_jump,7.26
Karlivans,25,7583,OlympicG,shot_put,13.3
Karlivans,25,7583,OlympicG,high_jump,1.97
Karlivans,25,7583,OlympicG,x400m,50.54
Karlivans,25,7583,OlympicG,x110m_hurdle,14.98
Karlivans,25,7583,OlympicG,discus,43.34
Karlivans,25,7583,OlympicG,pole_vault,4.5
Karlivans,25,7583,OlympicG,javeline,52.92
Karlivans,25,7583,OlympicG,x1500m,278.67
Korkizoglou,26,7573,OlympicG,x100m,10.86
Korkizoglou,26,7573,OlympicG,long_jump,7.07
Korkizoglou,26,7573,OlympicG,shot_put,14.81
Korkizoglou,26,7573,OlympicG,high_jump,1.94
Korkizoglou,26,7573,OlympicG,x400m,51.16
Korkizoglou,26,7573,OlympicG,x110m_hurdle,14.96
Korkizoglou,26,7573,OlympicG,discus,46.07
Korkizoglou,26,7573,OlympicG,pole_vault,4.7
Korkizoglou,26,7573,OlympicG,javeline,53.05
Korkizoglou,26,7573,OlympicG,x1500m,317
Uldal,27,7495,OlympicG,x100m,11.23
Uldal,27,7495,OlympicG,long_jump,6.99
Uldal,27,7495,OlympicG,shot_put,13.53
Uldal,27,7495,OlympicG,high_jump,1.85
Uldal,27,7495,OlympicG,x400m,50.95
Uldal,27,7495,OlympicG,x110m_hurdle,15.09
Uldal,27,7495,OlympicG,discus,43.01
Uldal,27,7495,OlympicG,pole_vault,4.5
Uldal,27,7495,OlympicG,javeline,60
Uldal,27,7495,OlympicG,x1500m,281.7
Casarsa,28,7404,OlympicG,x100m,11.36
Casarsa,28,7404,OlympicG,long_jump,6.68
Casarsa,28,7404,OlympicG,shot_put,14.92
Casarsa,28,7404,OlympicG,high_jump,1.94
Casarsa,28,7404,OlympicG,x400m,53.2
Casarsa,28,7404,OlympicG,x110m_hurdle,15.39
Casarsa,28,7404,OlympicG,discus,48.66
Casarsa,28,7404,OlympicG,pole_vault,4.4
Casarsa,28,7404,OlympicG,javeline,58.62
Casarsa,28,7404,OlympicG,x1500m,296.12
